,Tweet
3010,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
3011,RT @timothymathai: Eliud Kipchoge should have a sneaker deal with Nike once he runs under 2 mins #eliud159
3012,RT @johnnjenga: There is something that Kenya Airways missed that Safaricom did not. Imagine if Kenya's superb pilots flew Eliud to Vienna…
3013,"Eliud kipchoge and his pace makers  in vienna, the duo were carrying refreshments to ensure that there will be a pa… https://t.co/bGJMwPPy1P"
3014,"Sometimes you don't need financial support. All you need is love, encouragement and support from your people. Send… https://t.co/FklhJijVMJ"
3015,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3016,"RT @INEOS159: 🗣️ ""I am very excited to be here in Vienna. I have now seen the course for the first time and it looked great. I can't wait t…"
3017,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3018,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3019,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3020,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3021,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3022,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3023,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
3024,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
3025,RT @johnnjenga: There is something that Kenya Airways missed that Safaricom did not. Imagine if Kenya's superb pilots flew Eliud to Vienna…
3026,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3027,"RT @NNRunningTeam: Eliud Kipchoge started his INEOS 1:59 journey in April, read how he has been preparing himself for this challenge: https…"
3028,RT @DavisWispers: In the next 5 days M-pesa is going to change its logo in honour of legendary athlete Eliud kipchoge as he tries for the s…
3029,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3030,RT @johnnjenga: There is something that Kenya Airways missed that Safaricom did not. Imagine if Kenya's superb pilots flew Eliud to Vienna…
3031,RT @johnnjenga: There is something that Kenya Airways missed that Safaricom did not. Imagine if Kenya's superb pilots flew Eliud to Vienna…
3032,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3033,RT @johnnjenga: There is something that Kenya Airways missed that Safaricom did not. Imagine if Kenya's superb pilots flew Eliud to Vienna…
3034,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3035,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
3036,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3037,There is something that Kenya Airways missed that Safaricom did not. Imagine if Kenya's superb pilots flew Eliud to… https://t.co/u3MJ1d5bE4
3038,"As we join fellow Kenyans in honouring our legend Eliud Kipchoge and wishing him all the best in Vienna, we ask of… https://t.co/drg8KRAARW"
3039,"RT @petrom_: if @AthleticsKENYA were involved, Eliud Kipchoge would arrive Friday night after 3 connecting flights. Economy.
He'd be stayin…"
3040,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3041,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3042,"RT @NNRunningTeam: Eliud Kipchoge started his INEOS 1:59 journey in April, read how he has been preparing himself for this challenge: https…"
3043,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3044,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3045,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3046,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3047,"RT @StandardKenya: World marathon record holder Eliud Kipchoge has left the country for the Ineos 1:59 Challenge in Vienna, Austria

Let's…"
3048,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3049,RT @OfficialGMFC: We wish #eliudkipchoge all the best in Saturday’s #ineos159challenge in Austria. He has the character to make history.…
3050,MAX SPORTS: ELIUD KIPCHOGE TRYING TO BREAK THE 2 HOUR MARATHON... https://t.co/lTjeFIfnyK
3051,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3052,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3053,Yesterday was Eliud Kipchoge's first day in Vienna and he is already preparing for the INEOS 1:59 Challenge!!… https://t.co/wjGfd7BJEs
3054,[ITV News] Eliud Kipchoge is attempting to become the first person to run a sub-two hour marathon but it won't be a… https://t.co/RM7LIwzxXI
3055,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3056,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
3057,Love the solidarity we currently all have with Eliud Kipchoge
3058,"RT @UAbuu: All The Best Eliud Kipchoge

This Saturday, October 12, 2019, #EliudKipchoge, will attempt to break the world record by running…"
3059,Safaricom Rebrands M-PESA To Support Eliud Kipchoge’s 1.59 Challenge https://t.co/Ns5JUUOMJR https://t.co/PLPjg3WNo0
3060,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3061,"RT @SafaricomPLC: @michaelj2 .@michaelj2 Our new logo will be the five letters spelling Kipchoge’s first name, “Eliud” and the numbers “1:5…"
3062,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3063,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3064,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3065,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3066,"RT @opiyok97: ""Unaeza Maliza Chapo Kumi?"" While Eliud Kipchoge will be competing against time &amp; himself #ineos159challenge: I've also recal…"
3067,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3068,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3069,"RT @ChiralAfrique: Kenya's Eliud Kipchoge's attempt at proving #nohumanislimited 

Eliud Kipchoge, the current world marathon record holder…"
3070,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3071,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3072,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3073,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3074,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
3075,We believe in u Eliud we know u can make it possible@eliud kipchoge https://t.co/AW2c1b0YYN
3076,"RT @sakanasaoli16: Eliud Kipchoge.
The man. The legend."
3077,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
3078,RT @DavisWispers: In the next 5 days M-pesa is going to change its logo in honour of legendary athlete Eliud kipchoge as he tries for the s…
3079,"RT @drexxss: The only competition for Eliud Kipchoge 🤣🤣
#eliudkipchoge https://t.co/LJJNvU9Aq0"
3080,I can't imagine the pressure on Eliud kipchoge right now. May the Lord give him strength and alow him to succeed  #Eliud159
3081,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3082,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3083,"RT @MirikauFredrick: Hello Mr. Clinton Otieno, Eliud Kipchoge's Ineos159 Challenge is mission possible. #Eliud159 https://t.co/L5Df8IQ61x"
3084,RT @KWamatangi: Exhilarating; 34-year-old Eliud Kipchoge will run 5.8m/sec to enter the global history books as the first human to run 42KM…
3085,RT @apache14: So Eliud Kipchoge can no longer compete with humans or even himself but with time.. https://t.co/6Xhcth2fht
3086,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3087,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3088,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3089,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
3090,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3091,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3092,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3093,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3094,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3095,RT @DavisWispers: In the next 5 days M-pesa is going to change its logo in honour of legendary athlete Eliud kipchoge as he tries for the s…
3096,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3097,"Back in 2003, Eliud Kipchoge was just 18. The writing has been on the wall since then! Let’s conquer #Vienna!… https://t.co/UWbodmjaus"
3098,"RT @petrom_: if @AthleticsKENYA were involved, Eliud Kipchoge would arrive Friday night after 3 connecting flights. Economy.
He'd be stayin…"
3099,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
3100,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3101,"RT @SirAlexas: If Eliud Kipchoge runs below 2 hours, we deserve an holiday to celebrate that...."
3102,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3103,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
3104,RT @skiddyke: IF eliud kipchoge win in 2hour lets celebrate like is a holiday lets mark our calendar and cheer for our hero because he make…
3105,"RT @WilliamsMkenya: Mathematically, Eliud Kipchoge will run at a speed of 5 m/s in order for him to achieve the #INEOS159Challenge. Good lu…"
3106,"RT @KTNNewsKE: Eliud Kipchoge's kinsmen share their pride in his upcoming #ineos159challenge #INEOS159 

#KTNNewsDesk https://t.co/KEgCJe07…"
3107,RT @CandRGroup: “To win is not important. To be successful is not even important. How to plan and prepare is crucial. When you plan very we…
3108,"[BUSINESS] Safaricom to provide free YouTube bundle during Eliud Kipchoge’s INEOS 1:59 challenge: NAIROBI, Kenya, O… https://t.co/QJm0FTFIIv"
3109,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3110,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3111,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3112,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3113,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3114,"RT @Salomelugard: Eliud kipchoge fastest speed is 2:00:26, He is only running to beat 26sec , these people with weird  math anga 5.8Metres…"
3115,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
3116,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3117,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3118,RT @DavisWispers: In the next 5 days M-pesa is going to change its logo in honour of legendary athlete Eliud kipchoge as he tries for the s…
3119,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3120,RT @The_EastAfrican: Kenya telco Safaricom pays homage to world record holder Eliud Kipchoge with new M-Pesa logo https://t.co/ktaGyZDE0m #…
3121,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3122,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3123,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3124,How Eliud Kipchoge will win the INEOS challenge #INEOS159 #KipchogeINEOSChallenge https://t.co/DB0aHPnNRO
3125,"Dreams, Dreams, Dreams, I’m still running after them like Eliud Kipchoge. Dream with your eyes open!
#eliudkipchoge… https://t.co/Ykc0Iq5kZz"
3126,RT @DavisWispers: In the next 5 days M-pesa is going to change its logo in honour of legendary athlete Eliud kipchoge as he tries for the s…
3127,"RT @bevalynekwambo3: #ineos159challenge
Eliud Kipchoge is busy Breaking his own record,  it's him against time, meaning, the only person yo…"
3128,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
3129,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3130,RT @BettKMax: INEOS 159 challenge is very impossible for Eliud Kipchoge. #ineos159challenge https://t.co/EMhmlznWCW
3131,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3132,the only thing I care about this weekend is Eliud Kipchoge running the marathon in less than 2 hours.
3133,"RT @citizentvkenya: The ‘impossible’ record Eliud Kipchoge hopes to break in Vienna and why it matters
#KipchogeINEOSChallenge 
#EliudKipch…"
3134,"RT @amkevv: No human is limited. 
Eliud Kipchoge has really shown that we all have capabilities to better ourselves.
 #Eliud159 https://t.c…"
3135,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3136,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3137,"RT @BBobants: The whole world is waiting for Eliud Kipchoge to arrive well ahead of time.

#Eliud159 https://t.co/9vrEwdL2SA"
3138,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3139,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3140,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3141,@SimonNGicharu The difference is that one is 100% Kenyan while the other is 50% Kenyan. If Eliud Kipchoge wins he w… https://t.co/euI9W0YsC4
3142,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3143,"RT @ChiralAfrique: Kenya's Eliud Kipchoge's attempt at proving #nohumanislimited 

Eliud Kipchoge, the current world marathon record holder…"
3144,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3145,"RT @Asmali77: Safaricom to provide a free YouTube bundle on the day of Eliud Kipchoge’s race. From 8 AM to 4 PM, all Safaricom customers ca…"
3146,"RT @Salomelugard: Eliud kipchoge fastest speed is 2:00:26, He is only running to beat 26sec , these people with weird  math anga 5.8Metres…"
3147,"RT @Asmali77: Safaricom to provide a free YouTube bundle on the day of Eliud Kipchoge’s race. From 8 AM to 4 PM, all Safaricom customers ca…"
3148,https://t.co/FAQEPz0hyw 🔥 Facts about Briton sponsoring Eliud Kipchoge in the Ineos challenge - Hivisasa… https://t.co/zjsa2JjTc4
3149,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3150,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3151,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3152,RT @dailynation: Sh. 2.4 billion jet that flew Eliud Kipchoge to Vienna ahead of the INEOS 1:59 challenge https://t.co/6fCYANyyGH
3153,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3154,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3155,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
3156,Ineos159: M-Pesa changes logo in support of Eliud Kipchoge : The Standard https://t.co/RRpVcZN2WC
3157,"DID YOU KNOW?
Eliud Kipchoge will be running in Vienna, Austria to challenge his own record for under 2hrs, alongsi… https://t.co/8ddndYhiD5"
3158,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
3159,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3160,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3161,K.R.A should also appreciate Eliud kipchoge by not taxing him a dime when he comes after the record  #Eliud159
3162,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3163,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3164,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3165,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3166,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
3167,"RT @ChiralAfrique: Kenya's Eliud Kipchoge's attempt at proving #nohumanislimited 

Eliud Kipchoge, the current world marathon record holder…"
3168,RT @Moha001_Onyango: For those who aren't good in Mazematic... Eliud Kipchoge is supposed to run a distance of 42 kms in less than 2 hours.…
3169,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
3170,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
3171,"RT @Kakamega_pundit: I feel so happy and emotional watching this. Naskia ni brother ya Eliud kipchoge

Team 🇰🇪 https://t.co/M808N2EZ9U"
3172,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
3173,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3174,RT @EdwinSigey_: Endurance against the principle of Speed V's Time. Long live the resilient Kenyan Spirit in Eliud Kipchoge Long Live !! 💪…
3175,"RT @Propesaa: LIVE UPDATES FROM AUSTRIA 🇦🇹 VIENNA INEOS 159 CHALLENGE. Eliud Kipchoge
#eliudkipchoge #ineos159challenge
Full video  https:/…"
3176,@kamonjomaina Unless he wants to rename Kenyatta Avenue to Eliud Kipchoge Avenue hayo mengine staki kuskia.
3177,"RT @sakanasaoli16: Eliud Kipchoge.
The man. The legend."
3178,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3179,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3180,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
3181,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
3182,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3183,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
3184,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3185,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
3186,"RT @Aadozo: Safaricom will change their Mpesa logo for the next 5 days in honour of Eliud Kipchoge.

They will also offer free 1.59GB data…"
3187,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
3188,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3189,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3190,RT @EdwinSigey_: Endurance against the principle of Speed V's Time. Long live the resilient Kenyan Spirit in Eliud Kipchoge Long Live !! 💪…
3191,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
3192,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
3193,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3194,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3195,"RT @Salomelugard: Eliud kipchoge fastest speed is 2:00:26, He is only running to beat 26sec , these people with weird  math anga 5.8Metres…"
3196,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3197,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3198,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3199,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3200,Eliud Kipchoge got into this challenge knowing it's implications. It's a bold move worth admiration. You never know… https://t.co/efkRiBQQBt
3201,"RT @Kimanzi_: Mpesa: Eliud Kipchoge we are changing our logo to pay tribute to you. How do you feel about it? #Eliud159 

Eliud: https://t.…"
3202,RT @thuogithuku: Eliud Kipchoge and brother Peter Tabichi are persons our children should study in school as characters they should closely…
3203,"RT @Aadozo: Safaricom will change their Mpesa logo for the next 5 days in honour of Eliud Kipchoge.

They will also offer free 1.59GB data…"
3204,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3205,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3206,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
3207,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
3208,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
3209,"RT @Propesaa: LIVE UPDATES FROM AUSTRIA 🇦🇹 VIENNA INEOS 159 CHALLENGE. Eliud Kipchoge
#eliudkipchoge #ineos159challenge
Full video  https:/…"
3210,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
3211,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
3212,"RT @Salomelugard: Eliud kipchoge fastest speed is 2:00:26, He is only running to beat 26sec , these people with weird  math anga 5.8Metres…"
3213,"RT @EnochCheruiyot5: The only competitive for Eliud #Kipchoge ,,determined to defeat himself yesterday, today and here you are unsuccessful…"
3214,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
3215,"RT @ItsNyambane: Sammy Wanjiru was such a great talented Athletic. Rip to him

Eliud Kipchoge all the best in #INEOS159 Marathon.  The sky…"
3216,"RT @Kenyans: Eliud Kipchoge on Sir Tom’s Gulfstream G280, which was flown by two pilots from Britain to Eldoret; to fly Kipchoge to Vienna.…"
3217,"The only competitive for Eliud #Kipchoge ,,determined to defeat himself yesterday, today and here you are unsuccess… https://t.co/WwTwGNfHU9"
3218,RT @Reuters: ‘I am really looking forward to making history’: Eliud Kipchoge aims to run the Vienna marathon in under two hours https://t.c…
3219,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
3220,"The ‘impossible’ record Eliud Kipchoge hopes to break in Vienna and why it matters
#KipchogeINEOSChallenge… https://t.co/uqb1x3EEUw"
3221,"Eliud kipchoge INEOS 1:59 challenge live from VIENA AUSTRIA sat.12 oct
A MUST WATCH"
